epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.0809,0.55766,0.97043,1,0.12266,0.000473319,0.000473319,0.000473319
2,18.9005,0.08398,0.96774,1,0.07056,0.000855636,0.000855636,0.000855636
3,25.6274,0.06822,0.82258,1,0.50157,0.00114364,0.00114364,0.00114364
4,32.1733,0.07581,0.99731,1,0.01073,0.00100459,0.00100459,0.00100459
5,38.865,0.04894,0.87097,1,0.38575,0.000863116,0.000863116,0.000863116
6,47.4382,0.0391,0.98118,1,0.07488,0.000721645,0.000721645,0.000721645
7,54.1966,0.03506,0.97043,1,0.05202,0.000580174,0.000580174,0.000580174
8,60.302,0.02617,0.91667,1,0.24406,0.000438703,0.000438703,0.000438703
9,66.526,0.02058,0.96505,1,0.06952,0.000297232,0.000297232,0.000297232
10,72.7295,0.02031,1,1,0.01344,0.000155761,0.000155761,0.000155761
